,red_diff,remain_ends,last_stone_is_red,red_postion,filepath
3,-2.0,5,True,-2.0,./dataset_o\WWCC2022_ResultsBook\geme536end4.png
0,2.0,8,True,0.0,./dataset_o\WMCC2023_ResultsBook\geme271end1.png
8,-3.0,0,False,4.0,./dataset_o\WMCC2023_ResultsBook\geme346end9.png
2,0.0,6,True,1.0,./dataset_o\WMCC2023_ResultsBook\geme68end3.png
1,-1.0,7,False,0.0,./dataset_o\WWCC2023_ResultsBook\geme158end2.png
5,-1.0,3,True,1.0,./dataset_o\WWCC2023_ResultsBook\geme49end6.png
2,1.0,6,False,1.0,./dataset_o\WWCC2022_ResultsBook\geme224end3.png
1,-2.0,7,False,1.0,./dataset_o\WMCC2023_ResultsBook\geme412end2.png
0,2.0,8,True,0.0,./dataset_o\WMCC2021_ResultsBook\geme574end1.png
6,1.0,2,True,-3.0,./dataset_o\WWCC2022_ResultsBook\geme271end7.png
5,-1.0,3,True,-5.0,./dataset_o\WWCC2023_ResultsBook\geme580end6.png
1,-1.0,7,False,1.0,./dataset_o\WMCC2021_ResultsBook\geme192end2.png
5,0.0,3,False,1.0,./dataset_o\WMCC2022_ResultsBook\geme421end6.png
0,1.0,8,True,0.0,./dataset_o\WMCC2021_ResultsBook\geme426end1.png
2,0.0,6,False,3.0,./dataset_o\WWCC2023_ResultsBook\geme294end3.png
9,2.0,0,True,-1.0,./dataset_o\WMCC2022_ResultsBook\geme169end10.png
10,1.0,0,True,0.0,./dataset_o\WWCC2022_ResultsBook\geme521end11.png
2,0.0,6,True,-1.0,./dataset_o\WMCC2021_ResultsBook\geme732end3.png
6,-2.0,2,False,2.0,./dataset_o\WMCC2022_ResultsBook\geme280end7.png
5,1.0,3,True,3.0,./dataset_o\WMCC2021_ResultsBook\geme586end6.png
4,1.0,4,True,-2.0,./dataset_o\WMCC2022_ResultsBook\geme366end5.png
2,2.0,6,True,0.0,./dataset_o\WWCC2023_ResultsBook\geme126end3.png
4,-3.0,4,False,1.0,./dataset_o\WWCC2022_ResultsBook\geme600end5.png
1,-2.0,7,False,0.0,./dataset_o\WWCC2022_ResultsBook\geme737end2.png
2,-1.0,6,True,-6.0,./dataset_o\WMCC2022_ResultsBook\geme193end3.png
1,0.0,7,True,0.0,./dataset_o\WMCC2021_ResultsBook\geme71end2.png
5,-3.0,3,False,-1.0,./dataset_o\WWCC2023_ResultsBook\geme455end6.png
2,-1.0,6,True,0.0,./dataset_o\WWCC2023_ResultsBook\geme863end3.png
9,2.0,0,True,-1.0,./dataset_o\WMCC2021_ResultsBook\geme304end10.png
0,-1.0,8,True,0.0,./dataset_o\WWCC2023_ResultsBook\geme250end1.png
0,0.0,8,False,0.0,./dataset_o\WWCC2022_ResultsBook\geme330end1.png
7,1.0,1,True,-2.0,./dataset_o\WMCC2021_ResultsBook\geme521end8.png
7,1.0,1,True,-2.0,./dataset_o\WWCC2023_ResultsBook\geme546end8.png
3,1.0,5,True,-2.0,./dataset_o\WMCC2023_ResultsBook\geme728end4.png
0,0.0,8,False,0.0,./dataset_o\WWCC2022_ResultsBook\geme737end1.png
0,-1.0,8,False,0.0,./dataset_o\WMCC2023_ResultsBook\geme684end1.png
2,-1.0,6,True,0.0,./dataset_o\WMCC2022_ResultsBook\geme749end3.png
2,-1.0,6,False,2.0,./dataset_o\WMCC2022_ResultsBook\geme162end3.png
3,0.0,5,False,0.0,./dataset_o\WMCC2022_ResultsBook\geme783end4.png
0,-2.0,8,False,0.0,./dataset_o\WMCC2021_ResultsBook\geme996end1.png
5,2.0,3,True,-3.0,./dataset_o\WMCC2021_ResultsBook\geme479end6.png
9,2.0,0,True,-2.0,./dataset_o\WMCC2023_ResultsBook\geme45end10.png
6,-2.0,2,False,3.0,./dataset_o\WMCC2021_ResultsBook\geme901end7.png
2,-2.0,6,False,1.0,./dataset_o\WMCC2023_ResultsBook\geme280end3.png
0,-1.0,8,False,0.0,./dataset_o\WMCC2022_ResultsBook\geme323end1.png
4,-2.0,4,False,4.0,./dataset_o\WMCC2023_ResultsBook\geme424end5.png
6,1.0,2,True,5.0,./dataset_o\WMCC2021_ResultsBook\geme359end7.png
2,1.0,6,True,-2.0,./dataset_o\WMCC2021_ResultsBook\geme922end3.png
4,0.0,4,True,-8.0,./dataset_o\WMCC2023_ResultsBook\geme764end5.png
5,1.0,3,False,-5.0,./dataset_o\WMCC2023_ResultsBook\geme310end6.png
4,-4.0,4,False,6.0,./dataset_o\WMCC2022_ResultsBook\geme859end5.png
4,-2.0,4,True,-4.0,./dataset_o\WMCC2023_ResultsBook\geme580end5.png
2,1.0,6,True,2.0,./dataset_o\WMCC2021_ResultsBook\geme586end3.png
3,2.0,5,True,-3.0,./dataset_o\WMCC2022_ResultsBook\geme674end4.png
5,-1.0,3,False,1.0,./dataset_o\WMCC2021_ResultsBook\geme223end6.png
4,-1.0,4,False,1.0,./dataset_o\WMCC2021_ResultsBook\geme71end5.png
3,2.0,5,False,3.0,./dataset_o\WMCC2021_ResultsBook\geme586end4.png
2,0.0,6,True,1.0,./dataset_o\WMCC2023_ResultsBook\geme129end3.png
0,1.0,8,True,0.0,./dataset_o\WMCC2022_ResultsBook\geme346end1.png
6,-2.0,2,False,0.0,./dataset_o\WMCC2021_ResultsBook\geme437end7.png
7,-3.0,1,False,0.0,./dataset_o\WMCC2022_ResultsBook\geme389end8.png
7,-1.0,1,True,-1.0,./dataset_o\WWCC2023_ResultsBook\geme701end8.png
2,0.0,6,False,2.0,./dataset_o\WWCC2022_ResultsBook\geme677end3.png
3,-1.0,5,False,1.0,./dataset_o\WMCC2022_ResultsBook\geme169end4.png
0,-1.0,8,True,0.0,./dataset_o\WMCC2022_ResultsBook\geme737end1.png
5,1.0,3,True,3.0,./dataset_o\WWCC2023_ResultsBook\geme272end6.png
4,1.0,4,True,-1.0,./dataset_o\WMCC2022_ResultsBook\geme891end5.png
1,-1.0,7,False,0.0,./dataset_o\WMCC2023_ResultsBook\geme860end2.png
8,-1.0,0,False,-1.0,./dataset_o\WWCC2022_ResultsBook\geme760end9.png
1,0.0,7,True,-1.0,./dataset_o\WWCC2023_ResultsBook\geme232end2.png
0,0.0,8,False,0.0,./dataset_o\WMCC2022_ResultsBook\geme411end1.png
3,2.0,5,True,2.0,./dataset_o\WWCC2023_ResultsBook\geme24end4.png
0,0.0,8,False,0.0,./dataset_o\WWCC2023_ResultsBook\geme758end1.png
