,ends,red,yellow,red_diff,remain_ends,last_stone_is_red,page,filepath,INFO,T,red_postion
0,1,0.0,0.0,0.0,8,True,6,./dataset_o\CWC2018-19_Leg1_ResultsBook\geme6end1.png,True,CWC2018-19_Leg1_ResultsBook,0.0
1,2,2.0,0.0,2.0,7,True,6,./dataset_o\CWC2018-19_Leg1_ResultsBook\geme6end2.png,True,CWC2018-19_Leg1_ResultsBook,0.0
2,3,1.0,0.0,1.0,6,False,6,./dataset_o\CWC2018-19_Leg1_ResultsBook\geme6end3.png,True,CWC2018-19_Leg1_ResultsBook,2.0
3,4,0.0,1.0,-1.0,5,False,6,./dataset_o\CWC2018-19_Leg1_ResultsBook\geme6end4.png,True,CWC2018-19_Leg1_ResultsBook,3.0
4,5,1.0,0.0,1.0,4,True,6,./dataset_o\CWC2018-19_Leg1_ResultsBook\geme6end5.png,True,CWC2018-19_Leg1_ResultsBook,2.0
5,6,0.0,2.0,-2.0,3,False,6,./dataset_o\CWC2018-19_Leg1_ResultsBook\geme6end6.png,True,CWC2018-19_Leg1_ResultsBook,3.0
6,7,0.0,0.0,0.0,2,True,6,./dataset_o\CWC2018-19_Leg1_ResultsBook\geme6end7.png,True,CWC2018-19_Leg1_ResultsBook,1.0
7,8,3.0,0.0,3.0,1,True,6,./dataset_o\CWC2018-19_Leg1_ResultsBook\geme6end8.png,True,CWC2018-19_Leg1_ResultsBook,1.0
0,1,1.0,0.0,1.0,8,True,19,./dataset_o\CWC2018-19_Leg1_ResultsBook\geme19end1.png,True,CWC2018-19_Leg1_ResultsBook,0.0
1,2,0.0,0.0,0.0,7,False,19,./dataset_o\CWC2018-19_Leg1_ResultsBook\geme19end2.png,True,CWC2018-19_Leg1_ResultsBook,1.0
2,3,0.0,2.0,-2.0,6,False,19,./dataset_o\CWC2018-19_Leg1_ResultsBook\geme19end3.png,True,CWC2018-19_Leg1_ResultsBook,1.0
3,4,2.0,0.0,2.0,5,True,19,./dataset_o\CWC2018-19_Leg1_ResultsBook\geme19end4.png,True,CWC2018-19_Leg1_ResultsBook,-1.0
4,5,2.0,0.0,2.0,4,False,19,./dataset_o\CWC2018-19_Leg1_ResultsBook\geme19end5.png,True,CWC2018-19_Leg1_ResultsBook,1.0
5,6,2.0,0.0,2.0,3,False,19,./dataset_o\CWC2018-19_Leg1_ResultsBook\geme19end6.png,True,CWC2018-19_Leg1_ResultsBook,3.0
6,7,1.0,0.0,1.0,2,False,19,./dataset_o\CWC2018-19_Leg1_ResultsBook\geme19end7.png,True,CWC2018-19_Leg1_ResultsBook,5.0
0,1,0.0,0.0,0.0,8,True,27,./dataset_o\CWC2018-19_Leg1_ResultsBook\geme27end1.png,True,CWC2018-19_Leg1_ResultsBook,0.0
1,2,2.0,0.0,2.0,7,True,27,./dataset_o\CWC2018-19_Leg1_ResultsBook\geme27end2.png,True,CWC2018-19_Leg1_ResultsBook,0.0
2,3,2.0,0.0,2.0,6,False,27,./dataset_o\CWC2018-19_Leg1_ResultsBook\geme27end3.png,True,CWC2018-19_Leg1_ResultsBook,2.0
3,4,0.0,1.0,-1.0,5,False,27,./dataset_o\CWC2018-19_Leg1_ResultsBook\geme27end4.png,True,CWC2018-19_Leg1_ResultsBook,4.0
4,5,2.0,0.0,2.0,4,True,27,./dataset_o\CWC2018-19_Leg1_ResultsBook\geme27end5.png,True,CWC2018-19_Leg1_ResultsBook,3.0
5,6,2.0,0.0,2.0,3,False,27,./dataset_o\CWC2018-19_Leg1_ResultsBook\geme27end6.png,True,CWC2018-19_Leg1_ResultsBook,5.0
0,1,0.0,1.0,-1.0,8,True,34,./dataset_o\CWC2018-19_Leg1_ResultsBook\geme34end1.png,True,CWC2018-19_Leg1_ResultsBook,0.0
1,2,1.0,0.0,1.0,7,True,34,./dataset_o\CWC2018-19_Leg1_ResultsBook\geme34end2.png,True,CWC2018-19_Leg1_ResultsBook,-1.0
2,3,0.0,1.0,-1.0,6,False,34,./dataset_o\CWC2018-19_Leg1_ResultsBook\geme34end3.png,True,CWC2018-19_Leg1_ResultsBook,0.0
3,4,0.0,1.0,-1.0,5,True,34,./dataset_o\CWC2018-19_Leg1_ResultsBook\geme34end4.png,True,CWC2018-19_Leg1_ResultsBook,-1.0
4,5,1.0,0.0,1.0,4,True,34,./dataset_o\CWC2018-19_Leg1_ResultsBook\geme34end5.png,True,CWC2018-19_Leg1_ResultsBook,-2.0
5,6,0.0,1.0,-1.0,3,False,34,./dataset_o\CWC2018-19_Leg1_ResultsBook\geme34end6.png,True,CWC2018-19_Leg1_ResultsBook,-1.0
6,7,1.0,0.0,1.0,2,True,34,./dataset_o\CWC2018-19_Leg1_ResultsBook\geme34end7.png,True,CWC2018-19_Leg1_ResultsBook,-2.0
7,8,2.0,0.0,2.0,1,False,34,./dataset_o\CWC2018-19_Leg1_ResultsBook\geme34end8.png,True,CWC2018-19_Leg1_ResultsBook,-1.0
0,1,1.0,0.0,1.0,8,True,43,./dataset_o\CWC2018-19_Leg1_ResultsBook\geme43end1.png,True,CWC2018-19_Leg1_ResultsBook,0.0
1,2,1.0,0.0,1.0,7,False,43,./dataset_o\CWC2018-19_Leg1_ResultsBook\geme43end2.png,True,CWC2018-19_Leg1_ResultsBook,1.0
2,3,1.0,0.0,1.0,6,False,43,./dataset_o\CWC2018-19_Leg1_ResultsBook\geme43end3.png,True,CWC2018-19_Leg1_ResultsBook,2.0
3,4,0.0,1.0,-1.0,5,False,43,./dataset_o\CWC2018-19_Leg1_ResultsBook\geme43end4.png,True,CWC2018-19_Leg1_ResultsBook,3.0
4,5,4.0,0.0,4.0,4,True,43,./dataset_o\CWC2018-19_Leg1_ResultsBook\geme43end5.png,True,CWC2018-19_Leg1_ResultsBook,2.0
5,6,3.0,0.0,3.0,3,False,43,./dataset_o\CWC2018-19_Leg1_ResultsBook\geme43end6.png,True,CWC2018-19_Leg1_ResultsBook,6.0
0,1,0.0,1.0,-1.0,8,True,51,./dataset_o\CWC2018-19_Leg1_ResultsBook\geme51end1.png,True,CWC2018-19_Leg1_ResultsBook,0.0
1,2,2.0,0.0,2.0,7,True,51,./dataset_o\CWC2018-19_Leg1_ResultsBook\geme51end2.png,True,CWC2018-19_Leg1_ResultsBook,-1.0
2,3,0.0,1.0,-1.0,6,False,51,./dataset_o\CWC2018-19_Leg1_ResultsBook\geme51end3.png,True,CWC2018-19_Leg1_ResultsBook,1.0
3,4,0.0,0.0,0.0,5,True,51,./dataset_o\CWC2018-19_Leg1_ResultsBook\geme51end4.png,True,CWC2018-19_Leg1_ResultsBook,0.0
4,5,3.0,0.0,3.0,4,True,51,./dataset_o\CWC2018-19_Leg1_ResultsBook\geme51end5.png,True,CWC2018-19_Leg1_ResultsBook,0.0
5,6,2.0,0.0,2.0,3,False,51,./dataset_o\CWC2018-19_Leg1_ResultsBook\geme51end6.png,True,CWC2018-19_Leg1_ResultsBook,3.0
6,7,1.0,0.0,1.0,2,False,51,./dataset_o\CWC2018-19_Leg1_ResultsBook\geme51end7.png,True,CWC2018-19_Leg1_ResultsBook,5.0
0,1,1.0,0.0,1.0,8,True,59,./dataset_o\CWC2018-19_Leg1_ResultsBook\geme59end1.png,True,CWC2018-19_Leg1_ResultsBook,0.0
1,2,2.0,0.0,2.0,7,False,59,./dataset_o\CWC2018-19_Leg1_ResultsBook\geme59end2.png,True,CWC2018-19_Leg1_ResultsBook,1.0
2,3,0.0,1.0,-1.0,6,False,59,./dataset_o\CWC2018-19_Leg1_ResultsBook\geme59end3.png,True,CWC2018-19_Leg1_ResultsBook,3.0
3,4,0.0,2.0,-2.0,5,True,59,./dataset_o\CWC2018-19_Leg1_ResultsBook\geme59end4.png,True,CWC2018-19_Leg1_ResultsBook,2.0
4,5,0.0,3.0,-3.0,4,True,59,./dataset_o\CWC2018-19_Leg1_ResultsBook\geme59end5.png,True,CWC2018-19_Leg1_ResultsBook,0.0
5,6,1.0,0.0,1.0,3,True,59,./dataset_o\CWC2018-19_Leg1_ResultsBook\geme59end6.png,True,CWC2018-19_Leg1_ResultsBook,-3.0
6,7,0.0,2.0,-2.0,2,False,59,./dataset_o\CWC2018-19_Leg1_ResultsBook\geme59end7.png,True,CWC2018-19_Leg1_ResultsBook,-2.0
0,1,0.0,0.0,0.0,8,True,68,./dataset_o\CWC2018-19_Leg1_ResultsBook\geme68end1.png,True,CWC2018-19_Leg1_ResultsBook,0.0
1,2,3.0,0.0,3.0,7,True,68,./dataset_o\CWC2018-19_Leg1_ResultsBook\geme68end2.png,True,CWC2018-19_Leg1_ResultsBook,0.0
2,3,0.0,1.0,-1.0,6,False,68,./dataset_o\CWC2018-19_Leg1_ResultsBook\geme68end3.png,True,CWC2018-19_Leg1_ResultsBook,3.0
3,4,2.0,0.0,2.0,5,True,68,./dataset_o\CWC2018-19_Leg1_ResultsBook\geme68end4.png,True,CWC2018-19_Leg1_ResultsBook,2.0
4,5,1.0,0.0,1.0,4,False,68,./dataset_o\CWC2018-19_Leg1_ResultsBook\geme68end5.png,True,CWC2018-19_Leg1_ResultsBook,4.0
5,6,4.0,0.0,4.0,3,False,68,./dataset_o\CWC2018-19_Leg1_ResultsBook\geme68end6.png,True,CWC2018-19_Leg1_ResultsBook,5.0
0,1,1.0,0.0,1.0,8,True,76,./dataset_o\CWC2018-19_Leg1_ResultsBook\geme76end1.png,True,CWC2018-19_Leg1_ResultsBook,0.0
1,2,2.0,0.0,2.0,7,False,76,./dataset_o\CWC2018-19_Leg1_ResultsBook\geme76end2.png,True,CWC2018-19_Leg1_ResultsBook,1.0
2,3,0.0,1.0,-1.0,6,False,76,./dataset_o\CWC2018-19_Leg1_ResultsBook\geme76end3.png,True,CWC2018-19_Leg1_ResultsBook,3.0
3,4,1.0,0.0,1.0,5,True,76,./dataset_o\CWC2018-19_Leg1_ResultsBook\geme76end4.png,True,CWC2018-19_Leg1_ResultsBook,2.0
4,5,0.0,1.0,-1.0,4,False,76,./dataset_o\CWC2018-19_Leg1_ResultsBook\geme76end5.png,True,CWC2018-19_Leg1_ResultsBook,3.0
5,6,2.0,0.0,2.0,3,True,76,./dataset_o\CWC2018-19_Leg1_ResultsBook\geme76end6.png,True,CWC2018-19_Leg1_ResultsBook,2.0
6,7,1.0,0.0,1.0,2,False,76,./dataset_o\CWC2018-19_Leg1_ResultsBook\geme76end7.png,True,CWC2018-19_Leg1_ResultsBook,4.0
0,1,0.0,1.0,-1.0,8,True,85,./dataset_o\CWC2018-19_Leg1_ResultsBook\geme85end1.png,True,CWC2018-19_Leg1_ResultsBook,0.0
1,2,2.0,0.0,2.0,7,True,85,./dataset_o\CWC2018-19_Leg1_ResultsBook\geme85end2.png,True,CWC2018-19_Leg1_ResultsBook,-1.0
2,3,0.0,2.0,-2.0,6,False,85,./dataset_o\CWC2018-19_Leg1_ResultsBook\geme85end3.png,True,CWC2018-19_Leg1_ResultsBook,1.0
3,4,0.0,2.0,-2.0,5,True,85,./dataset_o\CWC2018-19_Leg1_ResultsBook\geme85end4.png,True,CWC2018-19_Leg1_ResultsBook,-1.0
4,5,2.0,0.0,2.0,4,True,85,./dataset_o\CWC2018-19_Leg1_ResultsBook\geme85end5.png,True,CWC2018-19_Leg1_ResultsBook,-3.0
