,redpoint_-3,redpoint_-2,redpoint_-1,redpoint_0,redpoint_1,redpoint_2,redpoint_3,pred,ends,red,yellow,red_diff,remain_ends,last_stone_is_red,red_postion,filepath,page,T
0,1,0,0,0,0,0,0,-3,4,0.0,3.0,-3.0,5,False,-3.0,./dataset_o\ECC2023_ResultsBook_Women_A-Division\geme462end4.png,462,ECC2023_ResultsBook_Women_A-Division
1,0,0,0,0,1,0,0,1,7,1.0,0.0,1.0,2,True,3.0,./dataset_o\CWC2018-19_Leg3_ResultsBook\geme318end7.png,318,CWC2018-19_Leg3_ResultsBook
2,0,0,0,0,1,0,0,1,4,1.0,0.0,1.0,5,True,0.0,./dataset_o\WWCC2022_ResultsBook\geme600end4.png,600,WWCC2022_ResultsBook
3,0,1,0,0,0,0,0,-2,8,0.0,2.0,-2.0,1,False,4.0,./dataset_o\ECC2022_ResultsBook_Men_A-Division\geme23end8.png,23,ECC2022_ResultsBook_Men_A-Division
4,0,0,0,0,1,0,0,1,8,1.0,0.0,1.0,1,True,-2.0,./dataset_o\WWCC2018_ResultsBook\geme722end8.png,722,WWCC2018_ResultsBook
5,0,0,0,0,0,0,1,3,1,3.0,0.0,3.0,8,True,0.0,./dataset_o\WMCC2018_ResultsBook\geme552end1.png,552,WMCC2018_ResultsBook
6,0,0,0,0,1,0,0,1,1,1.0,0.0,1.0,8,False,0.0,./dataset_o\WWCC2023_ResultsBook\geme875end1.png,875,WWCC2023_ResultsBook
7,0,0,1,0,0,0,0,-1,3,0.0,1.0,-1.0,6,True,-1.0,./dataset_o\WMCC2021_ResultsBook\geme763end3.png,763,WMCC2021_ResultsBook
8,0,0,0,1,0,0,0,0,5,0.0,0.0,0.0,4,True,2.0,./dataset_o\ECC2022_ResultsBook_Men_A-Division\geme77end5.png,77,ECC2022_ResultsBook_Men_A-Division
9,0,0,0,0,1,0,0,1,6,1.0,0.0,1.0,3,False,2.0,./dataset_o\ECC2021_ResultsBook_Women_A-Division\geme513end6.png,513,ECC2021_ResultsBook_Women_A-Division
10,0,0,0,0,1,0,0,1,1,1.0,0.0,1.0,8,True,0.0,./dataset_o\PACC2019_ResultsBook_Men\geme118end1.png,118,PACC2019_ResultsBook_Men
11,0,0,0,0,0,1,0,2,1,2.0,0.0,2.0,8,True,0.0,./dataset_o\ECC2021_ResultsBook_Women_A-Division\geme416end1.png,416,ECC2021_ResultsBook_Women_A-Division
12,0,0,0,0,1,0,0,1,6,1.0,0.0,1.0,3,False,7.0,./dataset_o\PACC2018_ResultsBook_Women\geme193end6.png,193,PACC2018_ResultsBook_Women
13,0,0,0,1,0,0,0,0,8,0.0,0.0,0.0,1,False,0.0,./dataset_o\PCCC2022_ResultsBook_Men_A-Division\geme300end8.png,300,PCCC2022_ResultsBook_Men_A-Division
14,0,0,1,0,0,0,0,-1,4,0.0,1.0,-1.0,5,False,4.0,./dataset_o\PCCC2022_ResultsBook_Women_A-Division\geme287end4.png,287,PCCC2022_ResultsBook_Women_A-Division
15,0,0,1,0,0,0,0,-1,7,0.0,1.0,-1.0,2,False,4.0,./dataset_o\OWG2022_ResultsBook\geme855end7.png,855,OWG2022_ResultsBook
16,0,0,1,0,0,0,0,-1,10,0.0,1.0,-1.0,0,False,2.0,./dataset_o\ECC2021_ResultsBook_Men_A-Division\geme228end10.png,228,ECC2021_ResultsBook_Men_A-Division
17,0,0,1,0,0,0,0,-1,2,0.0,1.0,-1.0,7,False,2.0,./dataset_o\OWG2022_ResultsBook\geme339end2.png,339,OWG2022_ResultsBook
18,0,0,0,0,0,0,1,3,3,3.0,0.0,3.0,6,True,0.0,./dataset_o\ECC2022_ResultsBook_Women_A-Division\geme37end3.png,37,ECC2022_ResultsBook_Women_A-Division
19,0,0,0,0,0,1,0,2,5,2.0,0.0,2.0,4,False,1.0,./dataset_o\ECC2023_ResultsBook_Men_A-Division\geme224end5.png,224,ECC2023_ResultsBook_Men_A-Division
20,0,1,0,0,0,0,0,-2,6,0.0,2.0,-2.0,3,False,-2.0,./dataset_o\ECC2022_ResultsBook_Women_A-Division\geme119end6.png,119,ECC2022_ResultsBook_Women_A-Division
21,0,0,0,0,1,0,0,1,5,1.0,0.0,1.0,4,False,1.0,./dataset_o\WMCC2023_ResultsBook\geme217end5.png,217,WMCC2023_ResultsBook
22,0,0,1,0,0,0,0,-1,4,0.0,1.0,-1.0,5,True,-1.0,./dataset_o\OWG2022_ResultsBook\geme942end4.png,942,OWG2022_ResultsBook
23,0,1,0,0,0,0,0,-2,7,0.0,2.0,-2.0,2,False,2.0,./dataset_o\WMCC2018_ResultsBook\geme58end7.png,58,WMCC2018_ResultsBook
24,0,0,0,1,0,0,0,0,1,0.0,0.0,0.0,8,True,0.0,./dataset_o\WMCC2023_ResultsBook\geme338end1.png,338,WMCC2023_ResultsBook
25,0,1,0,0,0,0,0,-2,4,0.0,2.0,-2.0,5,False,0.0,./dataset_o\OWG2022_ResultsBook\geme681end4.png,681,OWG2022_ResultsBook
26,0,0,0,0,1,0,0,1,7,1.0,0.0,1.0,2,True,-5.0,./dataset_o\WMCC2022_ResultsBook\geme58end7.png,58,WMCC2022_ResultsBook
27,0,0,0,0,0,0,1,3,2,3.0,0.0,3.0,7,False,2.0,./dataset_o\PACC2019_ResultsBook_Men\geme41end2.png,41,PACC2019_ResultsBook_Men
28,0,0,0,1,0,0,0,0,7,0.0,0.0,0.0,2,True,-1.0,./dataset_o\OWG2018_ResultsBook\geme246end7.png,246,OWG2018_ResultsBook
29,0,0,1,0,0,0,0,-1,3,0.0,1.0,-1.0,6,False,4.0,./dataset_o\WMCC2018_ResultsBook\geme730end3.png,730,WMCC2018_ResultsBook
30,0,0,0,0,0,1,0,2,7,2.0,0.0,2.0,2,True,-8.0,./dataset_o\ECC2023_ResultsBook_Women_A-Division\geme23end7.png,23,ECC2023_ResultsBook_Women_A-Division
31,0,1,0,0,0,0,0,-2,3,0.0,2.0,-2.0,6,False,-2.0,./dataset_o\OWG2018_ResultsBook\geme572end3.png,572,OWG2018_ResultsBook
32,0,0,0,0,1,0,0,1,2,1.0,0.0,1.0,7,False,2.0,./dataset_o\WMCC2019_ResultsBook\geme822end2.png,822,WMCC2019_ResultsBook
33,0,0,0,0,0,0,1,3,2,3.0,0.0,3.0,7,True,0.0,./dataset_o\WWCC2019_ResultsBook\geme476end2.png,476,WWCC2019_ResultsBook
34,0,0,0,1,0,0,0,0,4,0.0,0.0,0.0,5,True,-1.0,./dataset_o\WWCC2022_ResultsBook\geme557end4.png,557,WWCC2022_ResultsBook
35,0,0,1,0,0,0,0,-1,2,0.0,1.0,-1.0,7,True,-1.0,./dataset_o\WMCC2022_ResultsBook\geme334end2.png,334,WMCC2022_ResultsBook
36,0,0,0,0,1,0,0,1,9,1.0,0.0,1.0,0,True,-2.0,./dataset_o\ECC2019_ResultsBook_Women_A-Division\geme96end9.png,96,ECC2019_ResultsBook_Women_A-Division
37,1,0,0,0,0,0,0,-3,1,0.0,3.0,-3.0,8,True,0.0,./dataset_o\ECC2018_ResultsBook_Men_A-Division\geme204end1.png,204,ECC2018_ResultsBook_Men_A-Division
38,0,0,0,0,0,1,0,2,4,2.0,0.0,2.0,5,False,3.0,./dataset_o\ECC2023_ResultsBook_Men_A-Division\geme79end4.png,79,ECC2023_ResultsBook_Men_A-Division
39,0,0,0,1,0,0,0,0,1,0.0,0.0,0.0,8,True,0.0,./dataset_o\ECC2023_ResultsBook_Women_A-Division\geme219end1.png,219,ECC2023_ResultsBook_Women_A-Division
40,0,0,0,0,1,0,0,1,6,1.0,0.0,1.0,3,True,-2.0,./dataset_o\WMCC2018_ResultsBook\geme125end6.png,125,WMCC2018_ResultsBook
41,0,1,0,0,0,0,0,-2,5,0.0,2.0,-2.0,4,False,2.0,./dataset_o\ECC2019_ResultsBook_Men_A-Division\geme396end5.png,396,ECC2019_ResultsBook_Men_A-Division
42,0,0,0,0,0,1,0,2,4,2.0,0.0,2.0,5,True,1.0,./dataset_o\CWC2018-19_Leg2_ResultsBook\geme21end4.png,21,CWC2018-19_Leg2_ResultsBook
43,0,0,1,0,0,0,0,-1,9,0.0,1.0,-1.0,0,False,0.0,./dataset_o\ECC2018_ResultsBook_Men_A-Division\geme233end9.png,233,ECC2018_ResultsBook_Men_A-Division
44,0,0,0,0,1,0,0,1,10,1.0,0.0,1.0,0,False,0.0,./dataset_o\OWG2018_ResultsBook\geme246end10.png,246,OWG2018_ResultsBook
